id,name_e,name_j,name_c,filename,birthday,catchphrase,colors,favoriteSong,gender,hobby,personality,species,houseImage,wallpaper,flooring,furnitureList
26433,Cyrano,さくらじま,陽明,ant00,3/9,有的,"['黃色', '米色']",K.K.演歌,♂,學術,暴躁,食蟻獸,ant00_12_Cyrano,"{'name': '日式紙拉門', 'filename': 'RoomSpWallShoji00'}","{'name': '榻榻米', 'filename': 'RoomTexFloorTatami00'}","[{'name': '地爐', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrIrori.png'}, {'name': '日式床墊', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFuton_Remake_0_0.png'}, {'name': '竹籃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBambooBasket_Remake_0_0.png'}, {'name': '竹製擋車墩', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBambooCarstop_Remake_0_0.png'}, {'name': '竹製燭台', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBambooCandle_Remake_0_0.png'}, {'name': '坐墊堆', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCushionJapanPile_Remake_0_0.png'}, {'name': '坐墊', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCushionJapan_Remake_0_0.png'}, {'name': '屏風', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrScreenByoubu_Remake_0_0.png'}]"
26434,Antonio,マコト,阿誠,ant01,10/20,真誠,"['淺藍', '藍色']",拉格泰姆音樂,♂,健康,運動,食蟻獸,ant01_13_Antonio,"{'name': '星星牆', 'filename': 'RoomSpWallStarPrint00'}","{'name': '木節地板', 'filename': 'RoomTexFloorCedar00'}","[{'name': '木製邊桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenTableS_Remake_0_0.png'}, {'name': '書堆', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBooks_Remake_0_0.png'}, {'name': '木製書架', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBookshelf_Remake_0_0.png'}, {'name': '木製單人床', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenBedS_Remake_0_0.png'}, {'name': '木製椅', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenChairS_Remake_0_0.png'}, {'name': '小型ＤＩＹ作業台', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWorkbenchS_Remake_0_0.png'}, {'name': '木製桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenTableL_Remake_0_0.png'}, {'name': '木製矮櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenChest_Remake_0_0.png'}, {'name': '未完成的拼圖', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPuzzle_Remake_0_0.png'}, {'name': 'TOY音響', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBoyAudio_Remake_0_0.png'}]"
26435,Pango,パトラ,佩希,ant02,11/9,希希,"['橘子', '紫色']",K.K.印度王公,♀,時尚,活力,食蟻獸,ant02_14_Pango,"{'name': '宮牆', 'filename': 'RoomTexWallDynasty00'}","{'name': '金色鑄鐵拼花地板', 'filename': 'RoomTexFloorParquetIron00'}","[{'name': '東方風床鋪', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrOrientalBedW_Remake_0_0.png'}, {'name': '東方風屏風', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrOrientalScreen_Remake_0_0.png'}, {'name': '東方風矮桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrOrientalTableM_Remake_0_0.png'}, {'name': '黃金馬桶', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrGoldWC.png'}, {'name': '藤編矮桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRattanTableM_Remake_0_0.png'}, {'name': '藤編沙發', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRattanChairS_Remake_0_0.png'}, {'name': '東方風矮櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrOrientalChest_Remake_0_0.png'}, {'name': '留聲機', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPhonograph.png'}, {'name': '古典浴缸', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBathtubCabriole_Remake_0_0.png'}]"
26436,Anabelle,あるみ,有美,ant03,2/16,真的假的,"['綠色', '藍色']",夏威夷K.K.,♀,時尚,活力,食蟻獸,ant03_15_Anabelle,"{'name': '綠色油漆木牆', 'filename': 'RoomTexWallPaintWood01'}","{'name': '黃色花朵地板', 'filename': 'RoomTexFloorDecoWood00'}","[{'name': '木製椅', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenChairS_Remake_0_0.png'}, {'name': '滾筒式洗衣機', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWashingmachineDrum_Remake_0_0.png'}, {'name': '可愛DIY桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteWorkbench_Remake_0_0.png'}, {'name': '冰箱', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRefrigerator_Remake_0_0.png'}, {'name': '木製廢紙簍', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrTrashboxWood_Remake_0_0.png'}, {'name': '木製桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenTableL_Remake_0_0.png'}, {'name': '換氣扇', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrExtractorfan_Remake_0_0.png'}, {'name': '攜帶型收音機', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPortableradio_Remake_0_0.png'}, {'name': '木製邊桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenTableS_Remake_0_0.png'}, {'name': '燙衣組合', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrIron_Remake_0_0.png'}, {'name': '木製單人床', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenBedS_Remake_0_0.png'}, {'name': '鑄鐵木廚房', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrIronwoodKitchen_Remake_0_0.png'}, {'name': '直立式攪拌機', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrStandmixer_Remake_0_0.png'}, {'name': '壁掛式風扇', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFanRetroWall_Remake_0_0.png'}]"
26437,Snooty,こまち,貴妃,ant06,10/24,麻煩了,"['綠色', '黃色']",K.K.民謠,♀,學術,成熟,食蟻獸,ant06_16_Snooty,"{'name': '日式紙拉門', 'filename': 'RoomSpWallShoji00'}","{'name': '無邊榻榻米', 'filename': 'RoomTexFloorTatamiPanel00'}","[{'name': '和服架', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrKimonostand_Remake_0_0.png'}, {'name': '坐墊', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCushionJapan_Remake_0_0.png'}, {'name': '榻榻米床鋪', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrTatamiBedS_Remake_0_0.png'}, {'name': '竹屏風', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBambooScreen_Remake_0_0.png'}, {'name': '方形紙罩座燈', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrLampJapan_Remake_0_0.png'}, {'name': '坐墊堆', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCushionJapanPile_Remake_0_0.png'}, {'name': '爐灶廚房', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrKitchenKamado.png'}, {'name': '竹花瓶', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_0_0.png'}, {'name': '茶几', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrDiningtableJapan_Remake_0_0.png'}, {'name': '竹製便當盒', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBambooLunch_Remake_0_0.png'}]"
26438,Annalisa,みやび,小雅,ant08,2/6,優雅,"['紅色', '粉色']",K.K.領主,♀,大自然,普通,食蟻獸,ant08_17_Annalisa,"{'name': '金箔日式拉門', 'filename': 'RoomTexWallFusumaGorgeous00'}","{'name': '榻榻米', 'filename': 'RoomTexFloorTatami00'}","[{'name': '日式床墊', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFuton_Remake_0_0.png'}, {'name': '方形紙罩座燈', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrLampJapan_Remake_0_0.png'}, {'name': '竹球', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBambooBall_Remake_0_0.png'}, {'name': '屏風', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrScreenByoubu_Remake_0_0.png'}, {'name': '竹製多寶架', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBambooShelf_Remake_0_0.png'}, {'name': '坐墊堆', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCushionJapanPile_Remake_0_0.png'}, {'name': '和室椅', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFloorchair_Remake_0_0.png'}, {'name': '東方風矮桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrOrientalTableM_Remake_0_0.png'}, {'name': '青苔球', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBonsaiKokedama.png'}, {'name': '豪華和服架', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrKimonostandRich_Remake_0_0.png'}]"
26439,Olaf,アントニオ,安東尼,ant09,5/19,歐啦,"['紅色', '黑色']",K.K.米隆加,♂,學術,自戀,食蟻獸,ant09_18_Olaf,"{'name': '黑色磚塊牆', 'filename': 'RoomTexWallBrick02'}","{'name': '紅色簡約地毯', 'filename': 'RoomTexFloorSimpleCarpet00'}","[{'name': '古董床鋪', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_0_0.png'}, {'name': '古董玄關桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_0_0.png'}, {'name': '壁掛式聚光燈', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrLampSpotWall_Remake_0_0.png'}, {'name': '按摩浴缸', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrJacuzzi_Remake_0_0.png'}, {'name': '毛巾架', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_0_0.png'}, {'name': '古董椅子', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChairS_Remake_0_0.png'}, {'name': '古董時鐘', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_0_0.png'}, {'name': '撞球桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBilliard_Remake_0_0.png'}, {'name': '雙人座沙發', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrSofaL_Remake_0_0.png'}]"
26440,Teddy,たいへいた,太平,bea00,9/26,太好了,"['黃色', '橘子']",K.K.老師,♂,健康,運動,熊,bea00_19_Teddy,"{'name': '木屋牆', 'filename': 'RoomTexWallLog00'}","{'name': '軟木地板', 'filename': 'RoomTexFloorCork00'}","[{'name': '圓木長沙發', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrLogSofaL_Remake_0_0.png'}, {'name': 'ＤＩＹ作業台', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWorkbench_Remake_0_0.png'}, {'name': '圓木床鋪', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrLogBedW_Remake_0_0.png'}, {'name': '圓木餐桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrLogTableL_Remake_0_0.png'}, {'name': '黃椰子', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPlantYamadoriyashi_Remake_0_0.png'}, {'name': '圓木壁掛鐘', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrLogClockWall_Remake_0_0.png'}, {'name': '花邊結壁毯', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrMacrametapestry_Remake_0_0.png'}, {'name': '圓木裝飾架', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrLogShelf_Remake_0_0.png'}, {'name': '手提唱片播放機', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPortablerecordplayer_Remake_0_0.png'}]"
26441,Pinky,タンタン,丹丹,bea01,9/9,哇喔,"['紅色', '粉色']",K.K.中華,♀,時尚,活力,熊,bea01_20_Pinky,"{'name': '竹子牆', 'filename': 'RoomTexWallBamboo00'}","{'name': '花紋草蓆', 'filename': 'RoomTexFloorRush00'}","[{'name': '東方風床鋪', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrOrientalBedW_Remake_0_0.png'}, {'name': '東方風屏風', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrOrientalScreen_Remake_0_0.png'}, {'name': '竹籃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBambooBasket_Remake_0_0.png'}, {'name': '金魚', 'filename': 'https://acnhcdn.com/latest/BookFishIcon/FishKingyoCropped.png'}, {'name': '東方風矮櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrOrientalChest_Remake_0_0.png'}, {'name': '東方風矮桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrOrientalTableM_Remake_0_0.png'}, {'name': '雙卡帶收音機', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRadicaseW_Remake_0_0.png'}, {'name': '中式茶具組合', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrTeasetChina_Remake_0_0.png'}, {'name': '木製凳子', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenStoolS_Remake_0_0.png'}, {'name': '迷你生態池', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBiotope_Remake_0_0.png'}]"
26442,Curt,ガンテツ,鐵熊,bea02,7/1,嗯唔,"['藍色', '白色']",昭和K.K.歌謠,♂,大自然,暴躁,熊,bea02_388_Curt,"{'name': '空地圍欄牆', 'filename': 'RoomSpWallEmptyLot00'}","{'name': '空地地板', 'filename': 'RoomTexFloorEmptyLot00'}","[{'name': '卡帶收音機', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRadicase_Remake_0_0.png'}, {'name': '野營飯盒', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrMesstin.png'}, {'name': '睡袋', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrSleepingbag_Remake_0_0.png'}, {'name': '洗衣盆', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWashtub.png'}, {'name': '迷你生態池', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBiotope_Remake_0_0.png'}, {'name': '紙箱椅', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCardboardChairS_Remake_0_0.png'}, {'name': '曬衣繩', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrClothesline_Remake_0_0.png'}, {'name': '泡澡汽油桶', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrDrumcanbath_Remake_0_0.png'}, {'name': '炊火', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBonfire.png'}, {'name': '紙箱', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCardboard_Remake_0_0.png'}, {'name': '露營爐具', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrKocher_Remake_0_0.png'}]"
