name_c,name_j,name_e,category,filename,obtainedFrom,sell,buy,tag,themes
抽象藝術牆,アブストラクトなかべ,abstract wall,壁紙,RoomTexWallAbstract00,Nook商店,390,1560,布塊牆,"['商店', '設施']"
埃及牆,エジプトなかべ,ancient wall,壁紙,RoomTexWallEgypt00,駱嵐,750,3000,亞洲,"['民間藝術', '恐怖']"
蘋果壁紙,リンゴのかべがみ,apple wall,壁紙,RoomTexWallApple00,DIY,4000,,水果牆,"['豪華時髦的', '兒童房']"
水藍色磚牆,みずいろタイルのかべ,aqua tile wall,壁紙,RoomTexWallTile01,Nook商店,355,1420,瓷磚牆,"['浴室', '設施']"
美麗玻璃牆,きれいなガラスのかべ,arched-window wall,壁紙,RoomSpWallGlass00,Nook商店,537,2150,特殊牆,"['商店', '昂貴']"
楓葉牆,こうようのかべ,autumn wall,壁紙,RoomSpWallAutumun00,DIY,4700,,特殊的自然牆,['花園']
後院牆,うらにわのかべ,backyard-fence wall,壁紙,RoomSpWallBackyard00,駱嵐,750,3000,特酷自然牆,['花園']
竹子牆,バンブーなかべ,bamboo wall,壁紙,RoomTexWallBamboo00,DIY,2400,,自然牆,['禪宗風格']
竹林牆,ちくりんのかべ,bamboo-grove wall,壁紙,RoomTexWallChikurin00,DIY,4300,,自然牆,['禪宗風格']
竹簾牆,すだれのかべ,bamboo-screen wall,壁紙,RoomTexWallRattan00,Nook商店,442,1770,木牆,['禪宗風格']
銀行保險箱牆,かしきんこのかべ,bank-vault wall,壁紙,RoomTexWallSafeBox00,駱嵐,750,3000,鐵牆,"['設施', '昂貴']"
簡約壁板牆,シンプルパネルのかべ,basic wall,壁紙,RoomSpWallSimplePanel00,Nook商店,150,600,特殊牆,"['辦公室', '設施']"
珠簾牆,たまのれんのかべ,beaded-curtain wall,壁紙,RoomTexWallBeadsCurtain00,Nook商店,430,1720,布塊牆,"['商店', '廚房']"
米色裝飾線板壁紙,ベージュのアールデコかべがみ,beige art-deco wall,壁紙,RoomTexWallArtDeco00,Nook商店,695,2780,裝飾藝術牆,"['兒童房', '客廳']"
米色花草圖案牆,ベージュのくさばなもようのかべ,beige blossoming wall,壁紙,RoomTexWallCountry00,Nook商店,440,1760,鄉村,"['豪華時髦的', '客廳']"
米色摩洛哥磚牆,ベージュのモロッカンタイルかべ,beige desert-tile wall,壁紙,RoomTexWallMorocco00,Nook商店,610,2440,摩洛哥,"['浴室', '設施']"
黑色植物圖案磚牆,くろいボタニカルタイルのかべ,black botanical-tile wall,壁紙,RoomTexWallWoodTile03,Nook商店,310,1240,木瓷磚牆,"['設施', '昂貴']"
黑色大廳牆,くろいホールのかべ,black hallway wall,壁紙,RoomTexWallHall03,Nook商店,500,2000,大廳牆,"['設施', '音樂']"
黑色洞洞板牆,くろいパンチングボードのかべ,black perforated-board wall,壁紙,RoomTexWallPegboard02,Nook商店,295,1180,釘板牆,"['音樂', '設施']"
灰階配色撞色磚牆,モノクロツートンタイルのかべ,black two-toned tile wall,壁紙,RoomTexWallTwoToneTile06,Nook商店,462,1850,兩色瓷磚牆,"['浴室', '設施']"
黑色磚塊牆,くろレンガのかべ,black-brick wall,壁紙,RoomTexWallBrick02,Nook商店,250,1000,磚,"['設施', '商店']"
黑色皇冠壁紙,ブラッククラウンのかべがみ,black-crown wall,壁紙,RoomTexWallCrown01,Nook商店,587,2350,皇冠牆,['昂貴']
黑板牆,こくばんのかべ,blackboard wall,壁紙,RoomTexWallBlackBoard00,駱嵐,750,3000,neta牆,"['商店', '學校']"
藍色花草圖案牆,あおいくさばなもようのかべ,blue blossoming wall,壁紙,RoomTexWallCountry02,Nook商店,440,1760,鄉村,"['豪華時髦的', '客廳']"
藍色迷彩壁紙,ブルーめいさいのかべがみ,blue camo wall,壁紙,RoomTexWallCamouflage01,Nook商店,287,1150,迷彩,"['派對', '兒童房']"
藍色碎花壁紙,あおいこばながらのかべがみ,blue delicate-blooms wall,壁紙,RoomTexWallManor03,Nook商店,475,1900,莊園牆,"['昂貴', '客廳']"
藍色摩洛哥磚牆,ブルーのモロッカンタイルかべ,blue desert-tile wall,壁紙,RoomTexWallMorocco01,Nook商店,610,2440,摩洛哥,"['浴室', '設施']"
藍色餐館牆,あおいダイナーのかべ,blue diner wall,壁紙,RoomTexWallDiner00,Nook商店,605,2420,餐館牆,"['豪華時髦的', '商店']"
藍色花紋壁紙,ブルーのはながらかべがみ,blue flower-print wall,壁紙,RoomTexWallFlower03,Nook商店,445,1780,花牆,"['豪華時髦的', '客廳']"
藍色愛心壁紙,ブルーハートのかべがみ,blue heart-pattern wall,壁紙,RoomTexWallHeart00,Nook商店,320,1280,心牆,"['豪華時髦的', '兒童房']"
藍色六角磚牆,あおいハニカムタイルのかべ,blue honeycomb-tile wall,壁紙,RoomTexWallHoneycomb01,Nook商店,420,1680,蜂窩,"['浴室', '設施']"
藍色布牆,あおいテキスタイルのかべ,blue intricate wall,壁紙,RoomTexWallFlowerPop00,Nook商店,392,1570,布牆,"['客廳', '商店']"
藍色線板牆,あおいパネルモールドかべ,blue molded-panel wall,壁紙,RoomTexWallPanelMold01,Nook商店,495,1980,線板牆,"['昂貴', '商店']"
藍色油漆木牆,あおいペイントウッドのかべ,blue painted-wood wall,壁紙,RoomTexWallPaintWood00,Nook商店,412,1650,彩繪木,"['豪華時髦的', '客廳']"
藍色兒童房壁紙,あおいキッズルームのかべがみ,blue playroom wall,壁紙,RoomTexWallToy00,Nook商店,635,2540,玩具牆,"['兒童房', '豪華時髦的']"
