name_c,name_j,name_e,category,filename,obtainedFrom,sell,buy,seasonalAvailability,styles,themes,villagerEquippable,variations
A字T恤,エースのＴシャツ,A tee,上身,TopsTexTopTshirtsHAce0,購物：特別購物,140,560,全年,簡單,"['日常生活', '悠閒']",True,0
刷白牛仔外套,ケミカルデニムジャケット,acid-washed jacket,上身,TopsTexTopOuterLChemical1,裁縫店,420,1680,全年,簡單,"['日常生活', '戶外活動']",True,2
叛逆學生服,ヤンチャながくせいふく,after-school jacket,上身,TopsTexTopYshirtsLGakuranopen0,裁縫店,262,1050,全年,酷,"['日常生活', '悠閒']",True,7
仿皮草大衣,フェイクアニマルコート,animal-print coat,上身,TopsTexTopCoatLAnimal3,裁縫店,580,2320,冬季,可愛,['日常生活'],True,4
橫條紋T恤,しましまＴシャツ,animal-stripes tee,上身,TopsTexTopTshirtsHStripe1,裁縫店,240,960,夏季,酷,"['日常生活', '悠閒']",True,2
annyeong T恤,アンニョンＴシャツ,annyeong tee,上身,TopsTexTopTshirtsHHellokr0,購物：特別購物,160,640,全年,簡單,"['日常生活', '悠閒']",True,0
派克大衣,アノラック,anorak jacket,上身,TopsTexTopCoatLAnorak1,裁縫店,350,1400,全年,簡單,"['日常生活', '戶外活動']",True,3
圍裙,エプロン,apron,上身,TopsTexTopCoatHApron6,裁縫店,210,840,全年,簡單,"['日常生活', '工作']",True,8
手編阿倫花樣針織罩衫,アランカーディガン,Aran-knit cardigan,上身,TopsTexTopOuterLArancardigan2,裁縫店,325,1300,冬季,簡單,"['日常生活', '悠閒']",True,4
手編阿倫花樣毛衣,アランセーター,Aran-knit sweater,上身,TopsTexTopOuterLAran1,裁縫店,300,1200,冬季,簡單,"['日常生活', '悠閒']",True,7
菱格紋毛衣,アーガイルのセーター,argyle sweater,上身,TopsTexTopOuterLArgyle7,裁縫店,300,1200,冬季,簡單,"['日常生活', '悠閒']",True,8
菱格紋背心,アーガイルベスト,argyle vest,上身,TopsTexTopYshirtsLArgyle4,裁縫店,360,1440,全年,簡單,"['日常生活', '正式', '工作']",True,6
運動服,ジャージ,athletic jacket,上身,TopsTexTopOuterLJersey2,裁縫店,240,960,全年,活潑,"['戶外活動', '悠閒', '運動']",True,6
皺襯衫,ヨレヨレなシャツ,baggy shirt,上身,TopsTexTopTshirtsLLoose0,回收箱,10,,全年,簡單,"['恐怖', '悠閒']",True,3
棒球襯衫,ベースボールシャツ,baseball shirt,上身,TopsTexTopTshirtsHBaseball4,裁縫店,280,1120,全年,活潑,"['運動', '工作']",True,6
籃球衣,バスケシャツ,basketball tank,上身,TopsTexTopTshirtsNBasketballshirts7,裁縫店,280,1120,全年,活潑,"['運動', '工作']",True,8
熊熊T恤,くまのＴシャツ,bear tee,上身,TopsTexTopTshirtsHBear0,購物：特別購物,200,800,全年,活潑,"['日常生活', '悠閒']",True,0
最閃耀星星衣服,いちばんぼしのふく,big-star tee,上身,TopsTexTopTshirtsHStar0,購物：特別購物,140,560,全年,簡單,"['日常生活', '悠閒']",True,0
騎士皮外套,ライダースジャケット,biker jacket,上身,TopsTexTopYshirtsLRiders0,裁縫店,437,1750,全年,酷,"['日常生活', '戶外活動', '舞台']",True,6
花紋T恤,はながらのＴシャツ,blossom tee,上身,TopsTexTopTshirtsHFlower0,裁縫店,200,800,夏季,可愛,"['日常生活', '悠閒']",True,5
絨毛外套,ボアブルゾン,boa blouson,上身,TopsTexTopOuterLBlouson3,裁縫店,420,1680,冬季,可愛,"['日常生活', '童話世界', '悠閒']",True,4
刷毛外套,ボアフリース,boa fleece,上身,TopsTexTopYshirtsLFleece0,裁縫店,350,1400,冬季,活潑,"['日常生活', '戶外活動', '悠閒']",True,8
玻里尼西亞夏威夷襯衫,ポリネシアンなアロハ,bold aloha shirt,上身,TopsTexTopYshirtsHPolynesia1,裁縫店,240,960,夏季,活潑,"['悠閒', '度假']",True,2
MA-1飛行外套,ＭＡ‐１,bomber-style jacket,上身,TopsTexTopOuterLMaone1,裁縫店,360,1440,全年,酷,"['日常生活', '戶外活動']",True,4
骨頭T恤,ボーンなＴシャツ,bone tee,上身,TopsTexTopTshirtsHMeat0,裁縫店,160,640,夏季,簡單,"['日常生活', '悠閒']",True,0
bonjour T恤,ボンジュールＴシャツ,bonjour tee,上身,TopsTexTopTshirtsHHellofr0,購物：特別購物,160,640,全年,簡單,"['日常生活', '悠閒']",True,0
植物圖案T恤,ボタニカルＴシャツ,botanical tee,上身,TopsTexTopTshirtsHBotanical1,裁縫店,200,800,夏季,酷,"['日常生活', '悠閒', '度假']",True,2
保齡球衫,ボウリングシャツ,bowling shirt,上身,TopsTexTopYshirtsHBowling0,裁縫店,315,1260,夏季,酷,"['悠閒', '運動']",True,8
昆蟲夏威夷襯衫,インセクトアロハ,bug aloha shirt,上身,TopsTexTopYshirtsHInsect0,捕蟲大會,240,,全年,酷,"['悠閒', '度假']",True,0
鬥牛犬運動服,ブルドッグジャージ,bulldog jacket,上身,TopsTexTopOuterLBulldog1,裁縫店,360,1440,全年,酷,"['戶外活動', '運動']",True,3
西裝,スーツ,business suitcoat,上身,TopsTexTopYshirtsLSuits1,裁縫店,490,1960,全年,酷,"['正式', '派對', '舞台', '工作']",True,5
咖啡店制服,カフェのせいふく,café uniform,上身,TopsTexTopCoatLCafe0,裁縫店,375,1500,全年,優雅,"['正式', '工作']",True,4
迷彩MA-1飛行外套,めいさいのＭＡ‐１,camo bomber-style jacket,上身,TopsTexTopOuterLCamo0,裁縫店,350,1400,全年,酷,"['日常生活', '戶外活動']",True,3
迷彩衣服,めいさいなふく,camo tee,上身,TopsTexTopTshirtsHCamouflage0,裁縫店,240,960,夏季,酷,"['日常生活', '戶外活動']",True,7
露營者T恤,キャンパーのTシャツ,camper tee,上身,TopsTexTopTshirtsHOkmotors0,購物：手遊連動,210,840,全年,簡單,"['戶外活動', '悠閒']",True,0
針織罩衫&襯衫,カーディガン&シャツ,cardigan-shirt combo,上身,TopsTexTopYshirtsLCardiganyshirt4,裁縫店,210,840,全年,簡單,"['日常生活', '悠閒']",True,6
西裝外套,キャリアなジャケット,career jacket,上身,TopsTexTopYshirtsLCareer0,裁縫店,420,1680,全年,簡單,"['正式', '工作']",True,8
騎士衣服,じゅうきしのふく,cavalier shirt,上身,TopsTexTopCoatLGunknight1,裁縫店,520,2080,全年,優雅,"['童話世界', '舞台']",True,3
格紋切斯特大衣,チェックのチェスターコート,checkered chesterfield coat,上身,TopsTexTopCoatLChestercheck3,裁縫店,595,2380,冬季,優雅,['日常生活'],True,4
格紋圍巾配毛衣,チェックマフラーつきセーター,checkered muffler,上身,TopsTexTopOuterLMuffler0,裁縫店,360,1440,冬季,簡單,"['日常生活', '悠閒']",True,4
廚師衣服,コックさんのふく,chef's outfit,上身,TopsTexTopCoatHCook6,裁縫店,420,1680,全年,簡單,['工作'],True,7
切斯特大衣,チェスターコート,chesterfield coat,上身,TopsTexTopCoatLChester3,裁縫店,580,2320,冬季,酷,['日常生活'],True,4
小雞T恤,ひよこがらＴシャツ,chick tee,上身,TopsTexTopTshirtsHChickBlue,裁縫店,200,800,夏季,簡單,"['日常生活', '悠閒']",True,0
奇馬約圖騰背心,チマヨベスト,Chimayo vest,上身,TopsTexTopYshirtsLChimayo2,裁縫店,280,1120,全年,優雅,"['日常生活', '戶外活動']",True,4
ciao T恤,チャオＴシャツ,ciao tee,上身,TopsTexTopTshirtsHHelloit0,購物：特別購物,160,640,全年,簡單,"['日常生活', '悠閒']",True,0
長版針織罩衫,コーディガン,coatigan,上身,TopsTexTopCoatLCoadigan3,裁縫店,595,2380,冬季,優雅,['日常生活'],True,5
無領大衣,ノーカラーコート,collarless coat,上身,TopsTexTopCoatLNocollar0,裁縫店,500,2000,全年,簡單,"['日常生活', '正式']",True,3
無領襯衫,ノーカラーシャツ,collarless shirt,上身,TopsTexTopYshirtsLNocollar1,裁縫店,240,960,全年,簡單,['日常生活'],True,2
學院風針織罩衫,カレッジカーディガン,college cardigan,上身,TopsTexTopOuterLCollegecardigan4,裁縫店,300,1200,全年,簡單,['日常生活'],True,5
撞色有領襯衫,ツートンのエリつきシャツ,color-block dress shirt,上身,TopsTexTopYshirtsLTwotone5,裁縫店,240,960,全年,簡單,['日常生活'],True,6
多色粗橫紋針織衫,マルチボーダーニット,colorful striped sweater,上身,TopsTexTopTshirtsLMulti2,裁縫店,300,1200,全年,優雅,['日常生活'],True,6
諧星衣服,コメディアンなふく,comedian's outfit,上身,TopsTexTopYshirtsLComedian7,裁縫店,625,2500,全年,華麗,"['派對', '舞台']",True,8
工作外套,カバーオール,coverall coat,上身,TopsTexTopCoatLCoverall3,裁縫店,280,1120,冬季,簡單,"['日常生活', '戶外活動']",True,4
西部牛仔襯衫,カウボーイシャツ,cowboy shirt,上身,TopsTexTopYshirtsLCowboy1,裁縫店,525,2100,全年,簡單,"['戶外活動', '工作']",True,5
單車運動服,サイクルジャージ,cycling shirt,上身,TopsTexTopTshirtsHCycle0,裁縫店,300,1200,全年,活潑,"['戶外活動', '運動']",True,8
DAL圍裙,ＤＡＬエプロン,DAL apron,上身,TopsTexTopCoatHDal0,Dodo公司,1010,,全年,簡單,"['度假', '工作']",True,0
DAL MA-1飛行外套,ＤＡＬのＭＡ‐１,DAL pilot jacket,上身,TopsTexTopOuterLDal0,Dodo公司,1010,,全年,酷,"['戶外活動', '度假', '工作']",True,0
DAL T恤,ＤＡＬのＴシャツ,DAL tee,上身,TopsTexTopTshirtsHDal0,Dodo公司,1010,,全年,簡單,"['日常生活', '悠閒', '度假']",True,0
跳舞運動服,ダンスジャージ,dance-team jacket,上身,TopsTexTopYshirtsLCool1,裁縫店,420,1680,全年,活潑,"['運動', '舞台']",True,4
警示坦克背心,デンジャラスなタンクトップ,danger tank,上身,TopsTexTopTshirtsNDanger0,購物：特別購物,160,640,夏季,活潑,"['恐怖', '悠閒', '度假']",True,0
牛仔外套,デニムジャケット,denim jacket,上身,TopsTexTopYshirtsLDenim0,裁縫店,350,1400,全年,簡單,"['日常生活', '戶外活動']",True,5
牛仔背心,そでなしＧジャン,denim vest,上身,TopsTexTopYshirtsNDenim2,裁縫店,280,1120,夏季,活潑,"['日常生活', '戶外活動', '度假']",True,5
名偵探衣服,めいたんていのふく,detective's coat,上身,TopsTexTopCoatLDetective1,裁縫店,625,2500,全年,優雅,['工作'],True,3
餐館圍裙,ダイナーのエプロン,diner apron,上身,TopsTexTopCoatLDiner6,裁縫店,210,840,全年,活潑,['工作'],True,7
醫生袍,はくい,doctor's coat,上身,TopsTexTopCoatLWhitecoat1,裁縫店,540,2160,全年,簡單,['工作'],True,2
洋娃娃風襯衫,ドーリーシャツ,dolly shirt,上身,TopsTexTopPuffHDolly0,裁縫店,240,960,夏季,可愛,"['日常生活', '童話世界']",True,4
圓點雨衣,みずたまレインコート,dotted raincoat,上身,TopsTexTopCoatLRaindot5,裁縫店,400,1600,全年,可愛,['戶外活動'],True,6
蘇格蘭道布萊特外套,ダブレット,doublet,上身,TopsTexTopYshirtsLDoublet0,裁縫店,380,1520,全年,簡單,"['正式', '舞台', '工作']",True,4
羽絨外套,ダウンジャケット,down jacket,上身,TopsTexTopOuterLDownjacket3,裁縫店,280,1120,冬季,活潑,"['日常生活', '戶外活動']",True,8
滑雪羽絨外套,スキーダウンジャケット,down ski jacket,上身,TopsTexTopOuterLSkidown0,裁縫店,420,1680,冬季,活潑,"['戶外活動', '運動']",True,4
龍紋飛行外套,ドラゴンのスカジャン,dragon jacket,上身,TopsTexTopOuterLSukajandragonBlack,裁縫店,500,2000,冬季,活潑,['戶外活動'],True,0
夢幻可愛毛衣,ゆめかわなセーター,dreamy sweater,上身,TopsTexTopOuterLYumekawa0,裁縫店,360,1440,冬季,可愛,"['童話世界', '悠閒']",True,2
襯衫,ワイシャツ,dress shirt,上身,TopsTexTopYshirtsLStandard0,裁縫店,140,560,全年,簡單,"['日常生活', '正式', '工作']",True,5
耳機穿搭,イヤフォンコーデ,earbuds combo,上身,TopsTexTopTshirtsLEarphone3,裁縫店,350,1400,全年,酷,"['日常生活', '悠閒']",True,4
8號球衣服,８ばんだまのふく,eight-ball tee,上身,TopsTexTopTshirtsHNumberball8,購物：特別購物,140,560,全年,活潑,"['日常生活', '悠閒']",True,0
制服外套,ブレザー,emblem blazer,上身,TopsTexTopYshirtsLBlazer3,裁縫店,490,1960,全年,優雅,['正式'],True,4
刺繡細肩帶背心,ししゅうのキャミソール,embroidered tank,上身,TopsTexTopTshirtsNEmbroidery0,裁縫店,240,960,夏季,可愛,"['日常生活', '悠閒', '度假']",True,7
活力毛衣,すこやかなセーター,energetic sweater,上身,TopsTexTopYshirtsLKids3,裁縫店,240,960,全年,簡單,"['日常生活', '悠閒']",True,4
探險衣服,たんけんふく,explorer shirt,上身,TopsTexTopYshirtsHExplorer2,裁縫店,280,1120,全年,活潑,"['戶外活動', '工作']",True,4
仿馬海毛針織衫,モヘアふうニット,faux-hair sweater,上身,TopsTexTopOuterLMohair1,裁縫店,300,1200,冬季,酷,['悠閒'],True,2
麂皮大衣,ムートンコート,faux-shearling coat,上身,TopsTexTopCoatLMouton4,裁縫店,420,1680,冬季,優雅,"['日常生活', '戶外活動']",True,5
漁夫襯衫,フィッシャーヘムト,fischerhemd,上身,TopsTexTopYshirtsLFischerhemdBlue,裁縫店,450,1800,全年,簡單,"['戶外活動', '度假', '工作']",True,0
魚兒T恤,さかなＴシャツ,fish-print tee,上身,TopsTexTopTshirtsHFish0,活動：釣魚大賽,160,,全年,簡單,"['日常生活', '悠閒']",True,0
釣魚背心,つりジャケット,fishing vest,上身,TopsTexTopTshirtsHFishing4,裁縫店,360,1440,全年,活潑,"['戶外活動', '運動']",True,8
運動坦克背心,フィットネスタンクトップ,fitness tank,上身,TopsTexTopTshirtsNFitness4,裁縫店,200,800,全年,活潑,"['戶外活動', '運動']",True,8
5號球衣服,５ばんだまのふく,five-ball tee,上身,TopsTexTopTshirtsHNumberball5,購物：特別購物,140,560,全年,活潑,"['日常生活', '悠閒']",True,0
火焰T恤,ファイアーなＴシャツ,flame tee,上身,TopsTexTopTshirtsHFire0,裁縫店,200,800,夏季,活潑,"['日常生活', '悠閒']",True,0
法蘭絨襯衫,ネルシャツ,flannel shirt,上身,TopsTexTopYshirtsLFlannel0,裁縫店,300,1200,全年,簡單,"['日常生活', '悠閒']",True,5
鮮艷針織罩衫,ハデなカーディガン,flashy cardigan,上身,TopsTexTopOuterLPsychedelic0,裁縫店,300,1200,全年,華麗,['日常生活'],True,2
鮮艷外套,ハデなジャケット,flashy jacket,上身,TopsTexTopYshirtsLJacketgaudy0,裁縫店,490,1960,全年,華麗,"['正式', '派對', '舞台']",True,6
飛行外套,フライトジャケット,flight jacket,上身,TopsTexTopOuterLFlight1,裁縫店,420,1680,冬季,酷,"['戶外活動', '工作']",True,3
花紋針織衫,はながらのニット,flower sweater,上身,TopsTexTopOuterLFlowerknit2,裁縫店,300,1200,冬季,可愛,"['日常生活', '悠閒']",True,4
民族風針織衫,ネイティブニット,folk shirt,上身,TopsTexTopOuterLNative0,裁縫店,325,1300,冬季,簡單,"['日常生活', '悠閒']",True,3
美式足球襯衫,アメフトシャツ,football shirt,上身,TopsTexTopTshirtsHAmericanfootball1,裁縫店,280,1120,全年,活潑,"['運動', '工作']",True,8
4號球衣服,４ばんだまのふく,four-ball tee,上身,TopsTexTopTshirtsHNumberball4,購物：特別購物,140,560,全年,活潑,"['日常生活', '悠閒']",True,0
青蛙T恤,かえるのＴシャツ,frog tee,上身,TopsTexTopTshirtsHFrog0,購物：特別購物,160,640,全年,活潑,"['日常生活', '悠閒']",True,0
前綁結襯衫,まえむすびＹシャツ,front-tie button-down shirt,上身,TopsTexTopYshirtsHKnot3,裁縫店,200,800,夏季,活潑,"['日常生活', '度假']",True,4
前綁結T恤,まえむすびＴシャツ,front-tie tee,上身,TopsTexTopTshirtsHKnot1,裁縫店,160,640,夏季,活潑,"['日常生活', '悠閒', '度假']",True,4
絨毛背心,ボアベスト,fuzzy vest,上身,TopsTexTopYshirtsLBoavest4,裁縫店,325,1300,全年,簡單,"['日常生活', '戶外活動']",True,5
花紋圖案細肩帶背心,はながらのプリントキャミ,garden tank,上身,TopsTexTopTshirtsNCamisoleprint0,裁縫店,280,1120,夏季,可愛,"['日常生活', '童話世界', '悠閒', '度假']",True,4
背心搭配T恤,ジレコーデＴシャツ,gilet and shirt,上身,TopsTexTopTshirtsHGillet3,裁縫店,280,1120,夏季,酷,"['日常生活', '悠閒', '度假']",True,4
嘉頓格紋襯衫,ギンガムチェックのシャツ,gingham picnic shirt,上身,TopsTexTopYshirtsLGingham3,裁縫店,240,960,全年,簡單,['日常生活'],True,8
燙金圖案T恤,ゴールドプリントＴシャツ,gold-print tee,上身,TopsTexTopTshirtsHGoldprint1,裁縫店,280,1120,夏季,酷,"['派對', '悠閒']",True,2
長袍大衣,ガウンコート,gown coat,上身,TopsTexTopCoatLGowncoat1,裁縫店,500,2000,冬季,優雅,['日常生活'],True,4
學士服,がくしのふく,graduation gown,上身,TopsTexTopCoatLAcademicdress0,裁縫店,840,3360,全年,簡單,"['正式', '工作']",True,4
迷幻T恤,サイケデリックシャツ,groovy shirt,上身,TopsTexTopYshirtsLPsychedelic2,裁縫店,360,1440,全年,酷,"['日常生活', '悠閒', '度假']",True,3
嘻皮風衣服,ヒッピーなふく,groovy tunic,上身,TopsTexTopCoatLHippie0,裁縫店,420,1680,全年,活潑,"['日常生活', '舞台']",True,3
古巴襯衫,キューバシャツ,guayabera shirt,上身,TopsTexTopYshirtsHCuba1,裁縫店,280,1120,夏季,酷,"['日常生活', '戶外活動', '悠閒', '度假']",True,4
服務人員衣服,あんないがかりのふく,guide shirt,上身,TopsTexTopYshirtsLGuide1,裁縫店,200,800,全年,簡單,['工作'],True,3
體操服,たいそうふく,gym tee,上身,TopsTexTopTshirtsHGym3,裁縫店,160,640,全年,活潑,"['悠閒', '運動']",True,4
hallo T恤,ハーローＴシャツ,hallo tee,上身,TopsTexTopTshirtsHHelloge0,購物：特別購物,160,640,全年,簡單,"['日常生活', '悠閒']",True,0
無袖針織衫,ノースリーブのニット,hand-knit tank,上身,TopsTexTopOuterNKnit1,裁縫店,210,840,全年,優雅,"['日常生活', '正式', '悠閒']",True,6
日式棉襖外套,はんてん,hanten jacket,上身,TopsTexTopCoatLHanten1,裁縫店,280,1120,冬季,簡單,['悠閒'],True,4
祭典和服,はっぴ,happi tee,上身,TopsTexTopYshirtsHHappi2,裁縫店,240,960,夏季,活潑,"['派對', '舞台', '工作']",True,5
鷹紋飛行外套,タカのスカジャン,hawk jacket,上身,TopsTexTopOuterLSukajanhawkRed,裁縫店,437,1750,冬季,活潑,['戶外活動'],True,0
愛心圍裙,ハートのエプロン,heart apron,上身,TopsTexTopCoatLHeartapron2,裁縫店,250,1000,全年,可愛,"['童話世界', '工作']",True,5
愛心毛衣,ハートのセーター,heart sweater,上身,TopsTexTopOuterLHeart1,裁縫店,250,1000,冬季,可愛,"['日常生活', '童話世界', '悠閒']",True,2
工作襯衫,ワークシャツ,heavy-duty shirt,上身,TopsTexTopYshirtsLWork3,裁縫店,250,1000,全年,活潑,"['日常生活', '戶外活動', '工作']",True,4
hello T恤,ハローＴシャツ,hello tee,上身,TopsTexTopTshirtsHHelloen0,購物：特別購物,160,640,全年,簡單,"['日常生活', '悠閒']",True,0
亨利領T恤,ヘンリーネックＴシャツ,henley shirt,上身,TopsTexTopTshirtsLHenley1,裁縫店,240,960,全年,簡單,"['日常生活', '悠閒']",True,4
嗨T恤,ハイＴシャツ,hi tee,上身,TopsTexTopTshirtsHHellotw0,購物：特別購物,160,640,全年,簡單,"['日常生活', '悠閒']",True,0
綁腰襯衫,こしまきシャツ,hip-wrap shirt,上身,TopsTexTopCoatHWaistshirt0,裁縫店,300,1200,夏季,簡單,"['日常生活', '悠閒']",True,3
hoi T恤,ホーイＴシャツ,hoi tee,上身,TopsTexTopTshirtsHHelloNr0,購物：特別購物,160,640,全年,簡單,"['日常生活', '悠閒']",True,0
hola T恤,オラＴシャツ,hola tee,上身,TopsTexTopTshirtsHHellosp0,購物：特別購物,140,560,全年,簡單,"['日常生活', '悠閒']",True,0
聖誕毛衣,クリスマスセーター,holiday sweater,上身,TopsTexTopOuterLChristmas1,裁縫店,450,1800,全年,可愛,"['派對', '悠閒']",True,3
草裙舞上衣,フラダンスなトップス,hula top,上身,TopsTexTopTshirtsNHula0,裁縫店,300,1200,夏季,活潑,"['悠閒', '度假']",True,5
樸素針織衫,つつましいニット,humble sweater,上身,TopsTexTopTshirtsLQuiet2,裁縫店,287,1150,全年,簡單,"['日常生活', '悠閒']",True,4
漢字T恤,かんじＴシャツ,kanji tee,上身,TopsTexTopTshirtsHKanji0,裁縫店,160,640,夏季,活潑,"['日常生活', '悠閒']",True,4
兒童罩衣,スモック,kids' smock,上身,TopsTexTopTshirtsLSmock0,裁縫店,375,1500,全年,可愛,['日常生活'],True,4
konnichiwa T恤,こんにちはＴシャツ,konnichiwa tee,上身,TopsTexTopTshirtsHHellojp0,購物：特別購物,160,640,全年,簡單,"['日常生活', '悠閒']",True,0
功夫衣服,カンフーなふく,kung-fu tee,上身,TopsTexTopTshirtsHKungfu1,裁縫店,450,1800,全年,活潑,"['日常生活', '運動']",True,5
印度傳統長版上衣,クルタ,kurta,上身,TopsTexTopCoatLKuruta1,裁縫店,300,1200,全年,簡單,"['日常生活', '正式']",True,4
凱絲大衣,ケイトのコート,Labelle coat,上身,TopsTexTopCoatLKate1,綿兒,975,3900,全年,華麗,"['正式', '派對', '舞台']",True,6
凱絲針織衫,ケイトのカットソー,Labelle knit shirt,上身,TopsTexTopTshirtsHKate1,綿兒,567,2270,全年,酷,"['派對', '悠閒', '舞台']",True,6
蕾絲襯衫,レースのシャツ,lacy shirt,上身,TopsTexTopTshirtsHLace0,裁縫店,212,850,夏季,優雅,"['日常生活', '童話世界', '正式', '派對', '度假']",True,2
蕾絲細肩帶背心,レースのキャミソール,lacy tank,上身,TopsTexTopTshirtsNCamisolelace0,裁縫店,212,850,夏季,可愛,"['日常生活', '童話世界', '悠閒', '度假']",True,5
兩件式T恤,かさねぎＴシャツ,layered shirt,上身,TopsTexTopTshirtsLLayeredtshirts1,裁縫店,200,800,全年,簡單,"['日常生活', '悠閒']",True,4
簡約荷葉邊細肩帶背心,シンプルフリルキャミソール,layered tank,上身,TopsTexTopTshirtsNCamisole6,裁縫店,200,800,夏季,可愛,"['童話世界', '悠閒', '度假']",True,8
豹紋T恤,ヒョウがらＴシャツ,leopard tee,上身,TopsTexTopTshirtsHLeopard3,裁縫店,200,800,夏季,酷,"['日常生活', '悠閒']",True,4
棒球外套,スタジャン,letter jacket,上身,TopsTexTopOuterLStajan1,裁縫店,270,1080,冬季,活潑,"['日常生活', '戶外活動', '運動']",True,4
馬德拉斯格紋襯衫,マドラスチェックシャツ,madras plaid shirt,上身,TopsTexTopYshirtsHMadras5,裁縫店,280,1120,夏季,活潑,"['日常生活', '度假']",True,6
圓點點T恤,マーブルドットのＴシャツ,marble-dots tee,上身,TopsTexTopTshirtsHMarbledot1,裁縫店,160,640,夏季,活潑,"['日常生活', '悠閒']",True,2
迷幻貓咪衣服,ミームなふく,meme shirt,上身,TopsTexTopTshirtsHMeme3,裁縫店,240,960,夏季,酷,['悠閒'],True,4
騎兵隊衣服,へいたいのふく,military uniform,上身,TopsTexTopCoatLInfantry3,裁縫店,840,3360,全年,優雅,"['童話世界', '正式', '工作']",True,4
