id,type,category,name_c,name_j,name_e,obtainedFrom,buy,sell,seasonalAvailability,villagerEquippable,styles,themes,DIY,diyInfoMaterials,diyInfoObtainedFrom,diyInfoSourceNotes,filename,version,variations
6,clothes,上身,粗橫紋T恤,ボーダーＴシャツ,striped shirt,裁縫店,960,240,全年,True,簡單,"['日常生活', '悠閒']",False,,,,TopsTexTopTshirtsLBorder1,1.0.0,6
8,clothes,上身,登山連帽上衣,マウンテンパーカー,mountain parka,裁縫店,1400,350,全年,True,活潑,"['戶外活動', '運動']",False,,,,TopsTexTopYshirtsLMountain3,1.0.0,4
9,clothes,套裝,針織連身裙,ニットワンピース,sweater dress,裁縫店,1470,367,冬季,True,簡單,"['日常生活', '悠閒']",False,,,,TopsTexOnepieceRibLKnit0,1.0.0,3
10,clothes,套裝,連帽連身裙,パーカーワンピ,parka dress,裁縫店,1600,400,全年,True,活潑,"['日常生活', '悠閒']",False,,,,TopsTexOnepieceRibLParka4,1.0.0,5
11,clothes,套裝,背心裙,ジャンパースカート,overall dress,裁縫店,2000,500,全年,True,活潑,['日常生活'],False,,,,TopsTexOnepieceBoxHJumperskirt0,1.0.0,5
12,clothes,套裝,兩件式細肩帶連身裙,レイヤーキャミワンピ,layered tank dress,裁縫店,1200,300,全年,True,簡單,"['日常生活', '悠閒']",False,,,,TopsTexOnepieceBoxHLayercamisoleRouge,1.0.0,4
13,clothes,上身,羊毛混紡牛角釦大衣,ダッフルコート,peacoat,裁縫店,1960,490,冬季,True,簡單,['日常生活'],False,,,,TopsTexTopCoatLDuffleGray,1.0.0,4
14,clothes,下身,卡其褲,チノパン,chino pants,裁縫店,700,175,全年,False,簡單,"['日常生活', '工作']",False,,,,BottomsTexPantsNormalChino4,1.0.0,8
15,clothes,下身,撞色褲,ツートンなズボン,two-tone pants,裁縫店,880,220,全年,False,活潑,"['日常生活', '悠閒']",False,,,,BottomsTexPantsNormalTwotoneMonochrome,1.0.0,4
16,clothes,下身,嘉頓格紋裙,ギンガムチェックのスカート,gingham picnic skirt,裁縫店,880,220,全年,False,簡單,['日常生活'],False,,,,BottomsTexSkirtAlineGingham3,1.0.0,8
17,clothes,下身,牛仔褲,デニムパンツ,denim pants,裁縫店,1120,280,全年,False,簡單,['日常生活'],False,,,,BottomsTexPantsNormalDenim0,1.0.0,5
18,clothes,上身,風衣,トレンチコート,trench coat,裁縫店,1680,420,全年,True,優雅,"['日常生活', '正式', '工作']",False,,,,TopsTexTopCoatLTrench2,1.0.0,5
19,clothes,上身,功夫衣服,カンフーなふく,kung-fu tee,裁縫店,1800,450,全年,True,活潑,"['日常生活', '運動']",False,,,,TopsTexTopTshirtsHKungfu1,1.0.0,5
20,clothes,套裝,啦啦隊制服,チアのコスチューム,cheerleading uniform,裁縫店,1920,480,全年,True,活潑,"['運動', '舞台']",False,,,,TopsTexOnepieceAlineNCheer0,1.0.0,8
21,clothes,上身,棒球外套,スタジャン,letter jacket,裁縫店,1080,270,冬季,True,活潑,"['日常生活', '戶外活動', '運動']",False,,,,TopsTexTopOuterLStajan1,1.0.0,4
22,clothes,上身,3號球衣服,３ばんだまのふく,three-ball tee,每日購物精選,560,140,全年,True,活潑,"['日常生活', '悠閒']",False,,,,TopsTexTopTshirtsHNumberball3,1.0.0,1
23,clothes,上身,2號球衣服,２ばんだまのふく,two-ball tee,每日購物精選,560,140,全年,True,活潑,"['日常生活', '悠閒']",False,,,,TopsTexTopTshirtsHNumberball2,1.0.0,1
